,ark,language of material,contributing institution,title,creator,call_number,physical description,date (inclusive),date (bulk),abstract,physical location,dates,creator/collector,extent,date,photographer,collector,material specific details,source,author,language,phyiscal location,repository,record series,origination,shelf location,original,series,id,date_gmt,modified,modified_gmt,slug,status,type,link,featured_media,template,tags,guid.rendered,title.rendered,acf.ucdlib_manuscript_biog,acf.ucdlib_manuscript_descrip,acf.ucdlib_manuscript_call_num,acf.ucdlib_manuscript_date,acf.ucdlib_manuscript_extent_num,acf.ucdlib_manuscript_extent_type,acf.ucdlib_manuscript_url,acf.ucdlib_manuscript_moreinfo_name,acf.ucdlib_manuscript_moreinfo_url,acf.ucdlib_manuscript_moreinfo2_name,acf.ucdlib_manuscript_moreinfo2_url,acf.ucdlib_manuscript_photo_cat,_links.self,_links.collection,_links.about,_links.wp:attachment,_links.wp:term,_links.curies,_links.wp:featuredmedia,acf.ucdlib_uacollections_description,acf.ucdlib_uacollections_history,acf.ucdlib_uacollections_call_num,acf.ucdlib_uacollections_extent_num,acf.ucdlib_uacollections_extent_type,acf.ucdlib_uacollections_date,acf.ucdlib_uacollections_subject,acf.ucdlib_uacollections_moreinfo_url,acf.ucdlib_uacollections_moreinfo_name
164,ark:/13030/c86m382x/,Collection materials in English.,,Don A. Rockwell Papers,"Rockwell, Don A.",D-569,,1968-1980,,"Don A. Rockwell served as Professor of Psychiatry at the University of California, Davis. This small collection contains Rockwell&#39;s lecture notes as well as several articles he wrote.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,0.4 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,ark:/13030/c86m3cbr/,English,"University of California, Davis Library, Dept. of Special Collections","International Longshore and Warehouse Union, Local 17 Records",International Longshore and Warehouse Union. Local 17,D-591,4.4 linear feet,1935-2012,,"The collection documents warehouse organizing in the West Sacramento area. Includes minutes, correspondence, administrative files, photographs, picket signs, and memorabilia.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,ark:/13030/c86m3dpn/,English,,Eric Gill Collection,,MC057,,,,"Three signed proofs: The Aldine Bible, &#34;St. Matthew,&#34; Vol. I; &#34;St. Luke,&#34; Vol. II; &#34;Apocalypse,&#34; Vol. IV.",,1934-1936,null,0.1 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,ark:/13030/c86q209d/,English,,Steve Sanfield Papers,,D-221,,,,"Personal journals, manuscripts, correspondence, publications, audio tapes, and collected ephemera relating to Sanfield&#39;s life and career.",,1960-1996,"Sanfield, Steve.",32.2 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,ark:/13030/c86q20gn/,English,,Caterpillar 20 Blueprints,,D-308,,,,Blueprints for the Caterpillar 20 tractor.,,1928,Caterpillar Tractor Company.,1.6 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,ark:/13030/c86q20jj/,English,,Angel Island Oral History Collection,,D-455,,,,"The Pacific Regional Humanities Center at the University of California, Davis collected oral histories of immigrants who passed through the Angel Island Immigrant Station. This collection contains transcriptions of the fourteen oral histories as well as the original recordings.",,2004-2006,Pacific Regional Humanities Center.,0.8 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,ark:/13030/c86q22x9/,English,"University of California, Davis Library, Dept. of Special Collections",Samuel G. Armistead Papers,"Armistead, Samuel G., 1927-2013",D-580,172 audiocassettes,circa 1955-2011,,"The Samuel G. Armistead Papers includes Armistead&#39;s research and teaching materials, unpublished lectures, and correspondence. The collection includes a significant number of recordings and associated transcriptions of ballads, narratives, and riddles collected by Armistead and his collaborators in the field. Also present is a group of materials from fellow scholar Joanne Purcell.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,ark:/13030/c86t0pv4/,English,"University of California, Davis Library, Dept. of Special Collections",Rosemary Chan Papers and Photographs,"Chan, Rosemary, 1921-2011",D-560,2.8 linear feet,1930-2010,,Collection of personal papers and photographs of world travels. Collection also has information about the Square and Circle Club of San Francisco.,"Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,ark:/13030/c86w99dv/,Collection materials in English.,,Jackie Torrence Collection,,MC145,1 videocassette,1998,,,"Researchers should contact Special Collections to request collections, as many are stored offsite.",,,0.2 linear feet,,,"Bradford, Peter, 1936-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,ark:/13030/c86w9db6/,English,,Rollie E. Poppino Papers,,D-141,,,,"Microfilm, notes, and correspondence relating to Poppino&#39;s historical research; class lectures and other course materials.",,1939-1981,"Poppino, Rollie E.",19.1 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,ark:/13030/c86w9dcn/,English,,Alan &amp; Fannie Leslie Collection,,D-381,,,,"Collection of wine labels from U.S., Europe, Eastern Europe, and Middle East.",,circa 1950-1998,"Leslie, Alan. Leslie, Fannie.",1 linear foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,ark:/13030/c86w9hx2/,English,,Charles Deterding Collection,,MC205,,,,Correspondence and notebooks of Deterding. Program for a dinner honoring Peter J. Shields (1940); Senate Resolution in honor of Peter J. Shields (1963).,,1940-1963,null,0.1 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,ark:/13030/c8708390/,English,,USSR Theatre Collection,,D-137,,,,"Photographs, souvenir programs, and manuscripts (in Russian) relating to productions of the Moscow Art Theatre, the Vakhtangov Theatre, and the Theatre de la Chauve-Souris (Bat Theatre of Moscow).",,1908-1933,null,1.8 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,ark:/13030/c870868s/,English,"University of California, Davis Library, Dept. of Special Collections",Beer and Brewing Ephemera Collection,"University of California, Davis. Library. Department of Special Collections",D-616,2 items,2015-2019,,"Collection includes stickers, coasters, and a small amount of realia from breweries, cideries, and beer events.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,ark:/13030/c8736xtx/,English,,Kenneth A. Wagnon Collection,,MC078,,,,"Reprint of an article appearing in the Western livestock journal entitled &#34;Two blades of grass where thousands grew before,&#34; about pioneer cattle farmers John and Harriet O&#39;Neal, ghost-written by Wagnon.",,circa 1950,"Wagnon, Kenneth A. (Kenneth Appleby), 1907-.",0.1 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,ark:/13030/c8765n66/,English,,Save the Redwoods League Archives,,MC053,,,,Typecript of memo about the League&#39;s land acquisition and money sources.,,1929,null,1 folder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,ark:/13030/c879432f/,Collection materials in English.,,Davis (Calif.) Land Records Collection,"Uiversity of California, Davis. Library. Dept. of Special Collections.",D-032,2 copies,1883-1933,,"The Davis (Calif.) Land Records Collection contains abstracts of titles for ownership of Davis, California land from 1883-1923.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,4 linear feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
