,ark,language of material,contributing institution,title,creator,call_number,physical description,date (inclusive),date (bulk),abstract,physical location,dates,creator/collector,extent,date,photographer,collector,material specific details,source,author,language,phyiscal location,repository,record series,origination,shelf location,original,series,id,date_gmt,modified,modified_gmt,slug,status,type,link,featured_media,template,tags,guid.rendered,title.rendered,acf.ucdlib_manuscript_biog,acf.ucdlib_manuscript_descrip,acf.ucdlib_manuscript_call_num,acf.ucdlib_manuscript_date,acf.ucdlib_manuscript_extent_num,acf.ucdlib_manuscript_extent_type,acf.ucdlib_manuscript_url,acf.ucdlib_manuscript_moreinfo_name,acf.ucdlib_manuscript_moreinfo_url,acf.ucdlib_manuscript_moreinfo2_name,acf.ucdlib_manuscript_moreinfo2_url,acf.ucdlib_manuscript_photo_cat,_links.self,_links.collection,_links.about,_links.wp:attachment,_links.wp:term,_links.curies,_links.wp:featuredmedia,acf.ucdlib_uacollections_description,acf.ucdlib_uacollections_history,acf.ucdlib_uacollections_call_num,acf.ucdlib_uacollections_extent_num,acf.ucdlib_uacollections_extent_type,acf.ucdlib_uacollections_date,acf.ucdlib_uacollections_subject,acf.ucdlib_uacollections_moreinfo_url,acf.ucdlib_uacollections_moreinfo_name
689,ark:/13030/c8th8pxj/,English,"University of California, Davis Library, Dept. of Special Collections",Sarah V. Hutchison Papers,"Hutchison, Sarah V.",D-240;315,12 linear feet,1950-1984,,"Meeting minutes, research notes, interviews, journal and newspaper articles, and speeches relating to establishment, development, and eventual approval of D-Q University and the UC Davis Native American Studies program.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692,ark:/13030/c8tq64ws/,English,"University of California, Davis General Library, Dept. of Special Collections",Gunter Zweig Papers,"Zweig, Gunter",D-471;705,26 linear feet,1935-1997,,"Correspondence, subject files, articles about pesticides, course materials, and files on conferences and organizations.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,ark:/13030/c8v410x4/,English,"University of California, Davis Library, University Archives",Library Photographs and Ephemera Collection,"University of California, Davis. Library",AR-157;384,1.8 linear feet,1978-2016,,Historical photographs and ephemera from various branches and departments of the University Library.,"Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707,ark:/13030/c8v98g7b/,English,"University of California, Davis Library, University Archives",College of Engineering Records,"University of California, Davis. College of Engineering",AR-214;411,1 linear foot,circa 1970-2014,,"Includes photographs and digital images from the Department of Applied Science, College of Engineering brochures and flyers, and one DVD of the 2014 College of Engineering commencement ceremony.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709,ark:/13030/c8vd754x/,English,"University of California, Davis Library, Dept. of Special Collections",Joseph S. Rychetnik Photographs of California Viticulture and Agriculture,"Rychetnik, Joe",D-640,6 x 6 centimeter transparency,1972-1986,,"The Joseph S. Rychetnik photographs contain approximately 1200 color 35 millimeter slides and 13 medium format transparencies of vineyards, wineries, agriculture, and food in California taken by writer and photographer Joe Rychetnik.","Researchers should contact Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,ark:/13030/c8vd75m6/,English,"University of California, Davis Library, University Archives",Library Acquisitions Department Records,"University of California, Davis. Library",AR-170,3 linear feet,1923-1977,,"Correspondence, lists, and records of library gifts and exchanges.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715,ark:/13030/c8vq38tq/,English,"University of California, Davis Library, University Archives",Office of the Registrar Records,"University of California, Davis. Registrar",AR-038,4.4 linear feet,1942-1992,,"Summaries of students by quarter, schedules, notices, information on majors and degrees offered, and one scrapbook.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,ark:/13030/c8vt1zk4/,English,"University of California, Davis Library, University Archives","University of California, Davis, Department of Entomology Records","University of California, Davis. Department of Entomology",AR-029,6.8 linear feet,1941-2019,,"Files related to the department&#39;s Mosquito Research Program, microfiche of faculty research, slides of Briggs Hall, and audiovisual materials on bees.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
723,ark:/13030/c8vt209b/,English,"University of California, Davis Library, University Archives",Physical Sciences Library Records,"University of California, Davis. Library",AR-216,4 linear feet,1974-1977,,"Minutes, reports, cost studies, budgets, workshop materials, and library reference guides related to the Physical Sciences and Engineering Library (PSEL).","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,undated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727,ark:/13030/c8w09cdx/,English,"University of California, Davis Library, University Archives","University of California, Davis Library Conservation and Preservation Department Records",Margaret B. Harrison Preservation Department,AR-016,8.4 linear feet,1940-1988,,"Office files and reference materials relating to the responsibilities of the department including disaster preparedness, preservation microfilming, and book repair.","Researchers should contact Archives and Special Collections to request collections, as many are stored offsite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
